index,filename,latency_s,num_detections,warmup
647,000000076261.jpg,0.7205119260001993,2,False
648,000000076416.jpg,0.7207713379998495,3,False
649,000000076417.jpg,0.7209477139999763,4,False
650,000000076468.jpg,0.7245986230000199,5,False
652,000000076625.jpg,0.7197810500001651,6,False
654,000000077396.jpg,0.7587850400000207,6,False
655,000000077460.jpg,0.7270001689998935,6,False
657,000000078032.jpg,0.7208707370000411,2,False
658,000000078170.jpg,0.7415274650002175,5,False
659,000000078266.jpg,0.7220522590000655,2,False
660,000000078404.jpg,0.7401867559997299,2,False
661,000000078420.jpg,0.7305750089999492,3,False
662,000000078426.jpg,0.7406361599996671,2,False
663,000000078565.jpg,0.7299298859998089,9,False
664,000000078748.jpg,0.7433328289998826,18,False
665,000000078823.jpg,0.724509023000337,4,False
666,000000078843.jpg,0.7401392189999569,2,False
667,000000078915.jpg,0.7253071969998928,17,False
669,000000079014.jpg,0.7401405349996821,1,False
670,000000079031.jpg,0.7243225070001245,2,False
671,000000079034.jpg,0.7368070560000888,1,False
672,000000079144.jpg,0.7257853950000026,2,False
673,000000079188.jpg,0.7418815119999635,2,False
674,000000079229.jpg,0.7271020839998528,3,False
675,000000079408.jpg,0.7504671370002143,1,False
676,000000079565.jpg,0.721808418999899,2,False
678,000000079651.jpg,0.725469238000187,5,False
680,000000079969.jpg,0.7307546890001504,2,False
681,000000080022.jpg,0.7230745260003459,3,False
682,000000080057.jpg,0.7287569489999441,1,False
684,000000080273.jpg,0.7373568419998264,2,False
686,000000080340.jpg,0.7470824110000649,12,False
688,000000080659.jpg,0.7235436070000105,6,False
690,000000080671.jpg,0.7224046420001287,1,False
692,000000080949.jpg,0.7379534579999927,2,False
694,000000081394.jpg,0.7446176329999616,2,False
696,000000081738.jpg,0.7319932949999384,2,False
697,000000081766.jpg,0.741476774000148,3,False
698,000000081988.jpg,0.725155678000192,6,False
700,000000082180.jpg,0.7197398870002871,3,False
701,000000082688.jpg,0.7399379409998801,4,False
702,000000082696.jpg,0.7193695739997565,6,False
704,000000082765.jpg,0.7384626509997361,2,False
706,000000082812.jpg,0.7525631919997977,12,False
708,000000082846.jpg,0.722907911999755,2,False
709,000000082986.jpg,0.7274599279999165,4,False
711,000000083172.jpg,0.7341791540002305,4,False
712,000000083531.jpg,0.7346021189996463,5,False
713,000000083540.jpg,0.7491483300000255,1,False
715,000000084170.jpg,0.7345516660002431,4,False
717,000000084270.jpg,0.7254377939998449,16,False
718,000000084362.jpg,0.7448806590000459,4,False
720,000000084477.jpg,0.7332011670000611,3,False
721,000000084492.jpg,0.7228591669995694,5,False
723,000000084664.jpg,0.7485872219999692,2,False
724,000000084674.jpg,0.7305087039999307,4,False
725,000000084752.jpg,0.748221389000264,6,False
726,000000085089.jpg,0.7314706729998761,4,False
727,000000085157.jpg,0.7442731999999523,14,False
729,000000085329.jpg,0.740522048999992,2,False
730,000000085376.jpg,0.729382445000283,9,False
731,000000085478.jpg,0.7381433840000682,2,False
732,000000085576.jpg,0.7616100299997015,1,False
733,000000085665.jpg,0.7411846260001766,2,False
734,000000085682.jpg,0.7252705689998038,12,False
735,000000085772.jpg,0.7434494519998225,4,False
736,000000085823.jpg,0.7277984639999886,3,False
738,000000086220.jpg,0.7463456849995964,3,False
740,000000086582.jpg,0.7445745529998931,4,False
741,000000086755.jpg,0.7269262849999905,2,False
742,000000086956.jpg,0.7423056430002362,4,False
744,000000087144.jpg,0.727912200999981,5,False
746,000000087470.jpg,0.7250217419996261,11,False
747,000000087476.jpg,0.7461756779998723,10,False
748,000000087742.jpg,0.7288971620000666,3,False
749,000000087875.jpg,0.7506279989997893,1,False
751,000000088218.jpg,0.7255119910000758,2,False
753,000000088265.jpg,0.7250185809998584,1,False
754,000000088269.jpg,0.7401912219997939,4,False
756,000000088432.jpg,0.7243986019998374,5,False
758,000000088485.jpg,0.7271307719997822,2,False
759,000000088848.jpg,0.7426047479998488,7,False
760,000000088951.jpg,0.7232629860000088,3,False
761,000000088970.jpg,0.7369897730000048,3,False
762,000000089045.jpg,0.7263375080001424,3,False
763,000000089078.jpg,0.737342579000142,1,False
764,000000089271.jpg,0.7195159510001758,1,False
765,000000089296.jpg,0.7356186049996722,4,False
766,000000089556.jpg,0.7221087739999348,10,False
768,000000089670.jpg,0.7350726089998716,1,False
770,000000089761.jpg,0.7417399280002428,1,False
